Processes;Elements;Time;GlobalMin
1;1000000;0.001174;-2147474085
2;1000000;0.000638;-2147475557
4;1000000;0.002822;-2147471785
8;1000000;0.000268;-2147477566
16;1000000;0.000605;-2147471620
32;1000000;0.008131;-2147480508
1;10000000;0.010238;-2147483030
2;10000000;0.005246;-2147483266
4;10000000;0.004504;-2147482941
8;10000000;0.002736;-2147482941
16;10000000;0.001978;-2147482735
32;10000000;0.012859;-2147483378
1;100000000;0.093630;-2147483607
2;100000000;0.052385;-2147483598
4;100000000;0.028834;-2147483571
8;100000000;0.017199;-2147483394
16;100000000;0.016924;-2147483546
32;100000000;0.012290;-2147483586
1;500000000;0.473054;-2147483648
2;500000000;0.236887;-2147483646
4;500000000;0.120643;-2147483646
8;500000000;0.084377;-2147483634
16;500000000;0.085941;-2147483622
32;500000000;0.049362;-2147483602
