Processes;Elements;Time;Result
1;1000000;0.001871;4.0431e+06
2;1000000;0.001462;4.0807e+06
4;1000000;0.002539;2.2539e+06
8;1000000;0.000411;2.3143e+06
16;1000000;0.002256;-2.0599e+04
32;1000000;0.009083;-3.5362e+06
1;10000000;0.019345;2.5574e+07
2;10000000;0.015960;2.3895e+07
4;10000000;0.009904;1.9675e+07
8;10000000;0.006999;1.1076e+07
16;10000000;0.008795;-1.1211e+06
32;10000000;0.006971;-1.9361e+06
1;100000000;0.192290;4.6582e+07
2;100000000;0.145005;7.8643e+07
4;100000000;0.082808;5.1987e+07
8;100000000;0.067903;4.1651e+07
16;100000000;0.064817;6.4088e+07
32;100000000;0.037000;3.1833e+07
1;500000000;0.956157;-7.8880e+06
2;500000000;0.724506;9.4959e+07
4;500000000;0.395550;1.6924e+07
8;500000000;0.330088;3.1632e+07
16;500000000;0.323530;4.4078e+07
32;500000000;0.358173;-3.7723e+07
