Bytes;Iterations;Time;Bandwidth
0;1000;1.247235e-04;0.0000
1;1000;1.266438e-04;0.0075
2;1000;1.207495e-04;0.0158
4;1000;1.259417e-04;0.0303
8;1000;1.224048e-04;0.0623
16;1000;1.194747e-04;0.1277
32;1000;1.284822e-04;0.2375
64;1000;1.216804e-04;0.5016
128;1000;1.176233e-04;1.0378
256;1000;1.154709e-04;2.1143
512;1000;1.223530e-04;3.9908
1024;1000;1.287087e-04;7.5874
2048;1000;1.491305e-04;13.0968
4096;1000;1.512164e-04;25.8322
8192;1000;2.568776e-04;30.4133
16384;1000;3.331728e-04;46.8976
32768;1000;4.657385e-04;67.0977
65536;1000;7.825749e-04;79.8646
131072;100;1.318008e-03;94.8401
262144;100;2.793933e-03;89.4796
524288;100;5.019807e-03;99.6054
1048576;100;9.467697e-03;105.6223
2097152;20;1.844772e-02;108.4145
4194304;20;3.622486e-02;110.4214
8388608;20;7.194280e-02;111.1994
16777216;20;1.432635e-01;111.6823
