Label;Procs;ComputeUS;Bytes;Time
ComputeBound;1;10000;1024;1.00021
ComputeBound;2;10000;1024;1.00057
ComputeBound;4;10000;1024;1.00061
ComputeBound;8;10000;1024;1.00067
ComputeBound;16;10000;1024;1.01051
NetworkBound;1;10;4194304;0.0775459
NetworkBound;2;10;4194304;0.171419
NetworkBound;4;10;4194304;0.328998
NetworkBound;8;10;4194304;0.599593
NetworkBound;16;10;4194304;3.91501
Balanced;1;1000;102400;0.101892
Balanced;2;1000;102400;0.103797
Balanced;4;1000;102400;0.106282
Balanced;8;1000;102400;0.1105
Balanced;16;1000;102400;0.132281
