Label;Processes;DataSize;ComputeUS;BlockingTime;NonBlockingTime;Speedup
D1024_C10;2;1024;10;1.328619e-03;1.123818e-03;1.1822
D1024_C100;2;1024;100.0000;1.015250e-02;1.018046e-02;0.9973
D1024_C1000;2;1024;1000.0000;1.001376e-01;1.001345e-01;1.0000
D1024_C10000;2;1024;10000.0000;1.000284e+00;1.000249e+00;1.0000
D10240_C10;2;10240;10.0000;1.486903e-03;1.704005e-03;0.8726
D10240_C100;2;10240;100.0000;1.038398e-02;1.044245e-02;0.9944
D10240_C1000;2;10240;1000.0000;1.003946e-01;1.004893e-01;0.9991
D10240_C10000;2;10240;10000.0000;1.000490e+00;1.000647e+00;0.9998
D102400_C10;2;102400;10.0000;4.436770e-03;2.737213e-03;1.6209
D102400_C100;2;102400;100.0000;1.336683e-02;1.170608e-02;1.1419
D102400_C1000;2;102400;1000.0000;1.034010e-01;1.019381e-01;1.0144
D102400_C10000;2;102400;10000.0000;1.003731e+00;1.002244e+00;1.0015
D1048576_C10;2;1048576;10.0000;4.485503e-03;4.348705e-03;1.0315
D1048576_C100;2;1048576;100.0000;6.280082e-03;6.237863e-03;1.0068
D1048576_C1000;2;1048576;1000.0000;2.422904e-02;2.421809e-02;1.0005
D1048576_C10000;2;1048576;10000.0000;2.043031e-01;2.043024e-01;1.0000
D1024_C10;4;1024;10;1.581114e-03;1.291048e-03;1.2247
D1024_C100;4;1024;100.0000;1.025638e-02;1.026092e-02;0.9996
D1024_C1000;4;1024;1000.0000;1.002679e-01;1.002377e-01;1.0003
D1024_C10000;4;1024;10000.0000;1.000361e+00;1.000275e+00;1.0001
D10240_C10;4;10240;10.0000;1.907640e-03;1.887755e-03;1.0105
D10240_C100;4;10240;100.0000;1.072220e-02;1.055007e-02;1.0163
D10240_C1000;4;10240;1000.0000;1.007093e-01;1.029092e-01;0.9786
D10240_C10000;4;10240;10000.0000;1.000867e+00;1.002596e+00;0.9983
D102400_C10;4;102400;10.0000;7.123196e-03;4.632498e-03;1.5377
D102400_C100;4;102400;100.0000;1.598502e-02;1.271294e-02;1.2574
D102400_C1000;4;102400;1000.0000;1.059783e-01;1.028183e-01;1.0307
D102400_C10000;4;102400;10000.0000;1.006032e+00;1.003004e+00;1.0030
D1048576_C10;4;1048576;10.0000;8.425511e-03;7.871378e-03;1.0704
D1048576_C100;4;1048576;100.0000;6.936289e-03;8.834611e-03;0.7851
D1048576_C1000;4;1048576;1000.0000;2.496128e-02;2.464984e-02;1.0126
D1048576_C10000;4;1048576;10000.0000;2.049625e-01;2.046695e-01;1.0014
D1024_C10;8;1024;10;1.537491e-03;4.048919e-03;0.3797
D1024_C100;8;1024;100.0000;1.221388e-02;1.023370e-02;1.1935
D1024_C1000;8;1024;1000.0000;1.002289e-01;1.002161e-01;1.0001
D1024_C10000;8;1024;10000.0000;1.000391e+00;1.000317e+00;1.0001
D10240_C10;8;10240;10.0000;2.127391e-03;1.902527e-03;1.1182
D10240_C100;8;10240;100.0000;1.091673e-02;1.057624e-02;1.0322
D10240_C1000;8;10240;1000.0000;1.010111e-01;1.006297e-01;1.0038
D10240_C10000;8;10240;10000.0000;1.001087e+00;1.000981e+00;1.0001
D102400_C10;8;102400;10.0000;1.206501e-02;6.522679e-03;1.8497
D102400_C100;8;102400;100.0000;1.841971e-02;1.252992e-02;1.4701
D102400_C1000;8;102400;1000.0000;1.087372e-01;1.026207e-01;1.0596
D102400_C10000;8;102400;10000.0000;1.008061e+00;1.003060e+00;1.0050
D1048576_C10;8;1048576;10.0000;1.322737e-02;1.594185e-02;0.8297
D1048576_C100;8;1048576;100.0000;1.110396e-02;1.317837e-02;0.8426
D1048576_C1000;8;1048576;1000.0000;2.930005e-02;2.729399e-02;1.0735
D1048576_C10000;8;1048576;10000.0000;2.092483e-01;2.083812e-01;1.0042
D1024_C10;16;1024;10;6.552862e-02;7.452105e-03;8.7933
D1024_C100;16;1024;100.0000;1.169391e-02;1.107781e-02;1.0556
D1024_C1000;16;1024;1000.0000;1.015943e-01;1.010049e-01;1.0058
D1024_C10000;16;1024;10000.0000;1.001797e+00;1.001213e+00;1.0006
D10240_C10;16;10240;10.0000;1.379671e-02;1.179054e-02;1.1702
D10240_C100;16;10240;100.0000;1.525622e-02;1.468381e-02;1.0390
D10240_C1000;16;10240;1000.0000;1.036869e-01;1.021056e-01;1.0155
D10240_C10000;16;10240;10000.0000;1.004055e+00;1.002580e+00;1.0015
D102400_C10;16;102400;10.0000;9.019209e-02;1.316130e-01;0.6853
D102400_C100;16;102400;100.0000;8.837338e-02;1.349671e-01;0.6548
D102400_C1000;16;102400;1000.0000;1.195208e-01;1.535510e-01;0.7784
D102400_C10000;16;102400;10000.0000;1.019388e+00;1.010622e+00;1.0087
D1048576_C10;16;1048576;10.0000;1.931237e-01;1.909431e-01;1.0114
D1048576_C100;16;1048576;100.0000;2.162231e-01;1.889474e-01;1.1444
D1048576_C1000;16;1048576;1000.0000;2.850013e-01;1.909738e-01;1.4924
D1048576_C10000;16;1048576;10000.0000;3.969939e-01;2.230090e-01;1.7802
