Label;Processes;DataSize;ComputeUS;BlockingTime;NonBlockingTime;Speedup
D1024_C10;2;1024;10;1.301802e-03;1.156249e-03;1.1259
D1024_C100;2;1024;100.0000;1.011981e-02;1.016672e-02;0.9954
D1024_C1000;2;1024;1000.0000;1.001328e-01;1.001233e-01;1.0001
D1024_C10000;2;1024;10000.0000;1.000255e+00;1.000229e+00;1.0000
D10240_C10;2;10240;10.0000;1.478313e-03;1.733605e-03;0.8527
D10240_C100;2;10240;100.0000;1.038333e-02;1.048415e-02;0.9904
D10240_C1000;2;10240;1000.0000;1.003823e-01;1.005204e-01;0.9986
D10240_C10000;2;10240;10000.0000;1.000481e+00;1.000643e+00;0.9998
D102400_C10;2;102400;10.0000;4.422809e-03;2.715018e-03;1.6290
D102400_C100;2;102400;100.0000;1.333328e-02;1.178702e-02;1.1312
D102400_C1000;2;102400;1000.0000;1.034279e-01;1.019147e-01;1.0148
D102400_C10000;2;102400;10000.0000;1.003678e+00;1.002246e+00;1.0014
D1048576_C10;2;1048576;10.0000;4.515557e-03;4.353005e-03;1.0373
D1048576_C100;2;1048576;100.0000;6.181313e-03;6.192649e-03;0.9982
D1048576_C1000;2;1048576;1000.0000;2.423754e-02;2.423264e-02;1.0002
D1048576_C10000;2;1048576;10000.0000;2.042706e-01;2.042444e-01;1.0001
D1024_C10;4;1024;10;1.414658e-03;1.319219e-03;1.0723
D1024_C100;4;1024;100.0000;1.029871e-02;1.016346e-02;1.0133
D1024_C1000;4;1024;1000.0000;1.002006e-01;1.001652e-01;1.0004
D1024_C10000;4;1024;10000.0000;1.000295e+00;1.000270e+00;1.0000
D10240_C10;4;10240;10.0000;1.859043e-03;1.875166e-03;0.9914
D10240_C100;4;10240;100.0000;1.070240e-02;1.057731e-02;1.0118
D10240_C1000;4;10240;1000.0000;1.006975e-01;1.005874e-01;1.0011
D10240_C10000;4;10240;10000.0000;1.000815e+00;1.000731e+00;1.0001
D102400_C10;4;102400;10.0000;7.102649e-03;6.331036e-03;1.1219
D102400_C100;4;102400;100.0000;1.589127e-02;1.264322e-02;1.2569
D102400_C1000;4;102400;1000.0000;1.060816e-01;1.044093e-01;1.0160
D102400_C10000;4;102400;10000.0000;1.006272e+00;1.002987e+00;1.0033
D1048576_C10;4;1048576;10.0000;4.670393e-03;4.548109e-03;1.0269
D1048576_C100;4;1048576;100.0000;6.894100e-03;8.567613e-03;0.8047
D1048576_C1000;4;1048576;1000.0000;2.480271e-02;2.459083e-02;1.0086
D1048576_C10000;4;1048576;10000.0000;2.048160e-01;2.046224e-01;1.0009
D1024_C10;8;1024;10;1.539370e-03;3.164126e-03;0.4865
D1024_C100;8;1024;100.0000;1.290577e-02;1.025236e-02;1.2588
D1024_C1000;8;1024;1000.0000;1.002435e-01;1.001931e-01;1.0005
D1024_C10000;8;1024;10000.0000;1.000340e+00;1.000294e+00;1.0000
D10240_C10;8;10240;10.0000;2.130484e-03;1.906794e-03;1.1173
D10240_C100;8;10240;100.0000;1.096014e-02;1.056198e-02;1.0377
D10240_C1000;8;10240;1000.0000;1.009020e-01;1.006402e-01;1.0026
D10240_C10000;8;10240;10000.0000;1.001000e+00;1.002813e+00;0.9982
D102400_C10;8;102400;10.0000;1.213763e-02;4.530031e-03;2.6794
D102400_C100;8;102400;100.0000;1.843197e-02;1.239563e-02;1.4870
D102400_C1000;8;102400;1000.0000;1.074962e-01;1.025563e-01;1.0482
D102400_C10000;8;102400;10000.0000;1.008292e+00;1.003116e+00;1.0052
D1048576_C10;8;1048576;10.0000;1.259303e-02;1.375897e-02;0.9153
D1048576_C100;8;1048576;100.0000;1.152920e-02;1.318049e-02;0.8747
D1048576_C1000;8;1048576;1000.0000;2.941672e-02;2.702243e-02;1.0886
D1048576_C10000;8;1048576;10000.0000;2.093346e-01;2.069617e-01;1.0115
D1024_C10;16;1024;10;1.500192e-03;5.110675e-03;0.2935
D1024_C100;16;1024;100.0000;1.303352e-02;1.042984e-02;1.2496
D1024_C1000;16;1024;1000.0000;1.003224e-01;1.002600e-01;1.0006
D1024_C10000;16;1024;10000.0000;1.000641e+00;1.002004e+00;0.9986
D10240_C10;16;10240;10.0000;2.721590e-03;2.437490e-03;1.1166
D10240_C100;16;10240;100.0000;1.098881e-02;1.088970e-02;1.0091
D10240_C1000;16;10240;1000.0000;1.008222e-01;1.009934e-01;0.9983
D10240_C10000;16;10240;10000.0000;1.001059e+00;1.001922e+00;0.9991
D102400_C10;16;102400;10.0000;1.780828e-02;7.851923e-03;2.2680
D102400_C100;16;102400;100.0000;1.988114e-02;1.413504e-02;1.4065
D102400_C1000;16;102400;1000.0000;1.089385e-01;1.042008e-01;1.0455
D102400_C10000;16;102400;10000.0000;1.010239e+00;1.004289e+00;1.0059
D1048576_C10;16;1048576;10.0000;3.643172e-02;3.825691e-02;0.9523
D1048576_C100;16;1048576;100.0000;3.610576e-02;3.594702e-02;1.0044
D1048576_C1000;16;1048576;1000.0000;5.388145e-02;4.126712e-02;1.3057
D1048576_C10000;16;1048576;10000.0000;2.336117e-01;2.196277e-01;1.0637
