Bytes;Iterations;Time;Bandwidth
0;1000;2.557975e-07;0.0000
1;1000;2.217270e-07;4.3011
2;1000;2.247800e-07;8.4854
4;1000;2.233760e-07;17.0775
8;1000;2.228645e-07;34.2333
16;1000;2.231860e-07;68.3680
32;1000;2.638455e-07;115.6646
64;1000;3.459995e-07;176.4024
128;1000;4.355595e-07;280.2609
256;1000;3.822775e-07;638.6476
512;1000;4.117210e-07;1185.9518
1024;1000;4.997450e-07;1954.1216
2048;1000;6.469430e-07;3019.0063
4096;1000;9.511440e-07;4106.8965
8192;1000;1.431446e-06;5457.7679
16384;1000;2.458018e-06;6356.7463
32768;1000;4.454256e-06;7015.7628
65536;1000;9.274927e-06;6738.5971
131072;100;2.267429e-05;5512.8530
262144;100;2.811883e-05;8890.8393
524288;100;5.412672e-05;9237.5817
1048576;100;1.045832e-04;9561.7647
2097152;20;2.148479e-04;9308.9111
4194304;20;8.222148e-04;4864.9088
8388608;20;1.793496e-03;4460.5616
16777216;20;3.590310e-03;4456.4398
