Operation;Processes;DataSize;CustomTime;MPITime;Speedup
Broadcast;16;1;4.508433e-04;7.827580e-06;57.5968
Broadcast;16;10;2.691523e-05;4.202550e-06;6.4045
Broadcast;16;100;3.797064e-05;5.751770e-06;6.6016
Broadcast;16;1000;1.880903e-04;3.854985e-05;4.8791
Broadcast;16;10000;1.372765e-03;6.187475e-05;22.1862
Broadcast;16;100000;2.686658e-02;3.641468e-04;73.7795
Reduce;16;1;1.466634e-04;2.621099e-05;5.5955
Reduce;16;10;1.223590e-05;8.378030e-06;1.4605
Reduce;16;100;4.688191e-05;4.393159e-05;1.0672
Reduce;16;1000;2.756902e-04;4.762485e-05;5.7888
Reduce;16;10000;2.755489e-03;4.575711e-04;6.0220
Reduce;16;100000;3.209757e-02;3.525622e-03;9.1041
Scatter;16;1;2.436876e-05;2.898530e-06;8.4073
Scatter;16;10;2.409207e-05;4.401400e-06;5.4737
Scatter;16;100;3.015052e-05;1.798949e-05;1.6760
Scatter;16;1000;3.764645e-05;3.149808e-05;1.1952
Scatter;16;10000;5.070544e-04;3.004281e-04;1.6878
Scatter;16;100000;2.670624e-02;2.671564e-02;0.9996
Gather;16;1;1.220258e-05;8.368060e-06;1.4582
Gather;16;10;1.119773e-05;9.947580e-06;1.1257
Gather;16;100;3.198363e-05;3.211611e-05;0.9959
Gather;16;1000;2.756411e-04;2.793225e-04;0.9868
Gather;16;10000;2.743328e-03;3.705426e-03;0.7404
Gather;16;100000;3.106516e-02;2.882741e-02;1.0776
Allgather;16;1;2.066324e-03;1.119486e-04;18.4578
Allgather;16;10;1.093755e-03;1.318676e-04;8.2943
Allgather;16;100;1.255368e-03;3.667260e-04;3.4232
Allgather;16;1000;3.084670e-03;7.682907e-04;4.0150
Allgather;16;10000;2.444458e-02;5.694299e-03;4.2928
Allgather;16;100000;2.656035e-01;8.942811e-02;2.9700
Alltoall;16;1;1.087221e-03;1.947221e-04;5.5834
Alltoall;16;10;1.087489e-03;2.094226e-04;5.1928
Alltoall;16;100;1.236695e-03;3.628370e-04;3.4084
Alltoall;16;1000;3.062676e-03;2.801339e-03;1.0933
Alltoall;16;10000;2.303055e-02;2.342640e-02;0.9831
Alltoall;16;100000;2.580333e-01;2.321003e-01;1.1117
